"step";"bible_ref";"bible_ref_positive_negative";"bible_ref_origin";"bible_ref_author";"bible_ref_type";"category";"title_nl";"title_ot_nl";"title_ot_en";"title_ot_code";"title_en";"title_negative_en";"devotional_en";"devotional_nl";"devotional_source";"questions";"quote";"quote_source"
1;"Mat 4:17";"positive";;"Jesus";"primary";"Salvation Commands";"Bekeer u en geloof het evangelie";"Weet en geloof dat G-d bestaat";"To know that G-d exists";"CCA1";"Repent and believe the gospel";;"<h5>What is the gospel?</h5>
<p><i>Here is a summary of the circle story of the Gospel according to the Bible.</i></p>

<ol type = 1>
<li>Before there was anything, God was there. God created heaven and earth and man according to his image. He created them male and female. God and man loved each other.</li>
<li>The righteous God told man that if they rebelled, that would result them in dying. Man, made in the image of God with his own will, rebelled.</li>
<li>Man died spiritually (that is, separated from God) and later also physically. Man would be separated from God forever.</li>
<li>God still loved mankind. As their Creator, He continued to love them</li>
<li>God came into creation as a human to restore the relationship between God and human. He walked on earth to show people how to live. Then He died for humanity and rose again after 3 days.</li>
<li>He told his followers that He would go back to where He had come from. Just before He left, He instructed them to tell everyone that He had restored the relationship to anyone who wants to believe it. He also said that He will return when all nations have heard this good news.</li>
<li>If they believed the good news, they would receive a living spirit that would bring them into relationship with God. Then they could also understand His Word and moreover resist the temptations of the world.</li>
<li>Those who believed Him at His word began to love Him and to follow His example.</li>
<li>Through this process of discipleship, they begin to look more and more like Him, and tell others, far and near, of the good news.</li>
<li>Ultimately, when He returns, it will be better than it was in the beginning. Because in the beginning, before there was anything ... (See point 1)</li>
</ol>

<p><b><i>Do you repent your sins and believe the gospel?</b></i></p>";"<h5>Wat is het evangelie?</h5> 
<p><i>Hier is de samengevatte cirkel vertelling van het evangelie volgens de Bijbel.</i></p>

<ol type=1>
<li>Voordat er ook maar iets was, was God er. God schiep de hemel en de aarde en de mens naar zijn gelijkenis. Man en vrouw schiep Hij hen. God en de mens hielden van elkaar.</li>
<li>De rechtvaardige God had tegen de mens gezegd dat als ze zouden rebelleren, dat de consequentie zou zijn dat ze zouden sterven. De mens, gemaakt naar God beeld met zijn eigen wil, rebelleerde.</li>
<li>De mens stierf geestelijk (dat wil zeggen kwam los van God) en later ook lichamelijk. De mens zou voor altijd van God gescheiden zijn.</li>
<li>God hield nog steeds van de mens. Als hun Maker bleef Hij van hen houden</li>
<li>God kwam in de schepping als mens om de relatie tussen God en mens te herstellen. Hij wandelde op aarde om de mens te tonen hoe te leven. Toen stierf Hij voor de mensheid en stond na 3 dagen weer op.</li>
<li>Hij vertelde zijn volgelingen, dat Hij weer terug zou gaan naar waar Hij vandaan gekomen was. Net voor Hij vertrok gaf Hij hen de opdracht om iedereen te vertellen dat Hij de relatie hersteld had voor iedereeen die het wil geloven. Ook zei Hij, dat Hij terugkomt als alle volkeren dit goede nieuws gehoord hebben.</li>
<li>Als zij het goede nieuws zouden geloven, dan zouden ze een levende geest ontvangen die hen in relatie met God zou brengen. Dan zouden ze ook Zijn Woord kunnen begrijpen en bovendien weerstand bieden aan de verleidingen van de wereld.</li>
<li>Zij die Hem op Zijn woord geloofden gingen van Hem houden en gingen Zijn voorbeeld volgen.</li>
<li>Door dit proces van discipelschap, beginnen zij steeds meer op Hem te lijken, en anderen, veraf en dichtbij, van het goede nieuws te vertellen.</li>
<li>Uiteindelijk, wanneer Hij terugkomt, zal het beter zijn dan het in het begin was. Want in het begin, voor er ook maar iets was… (Zie punt 1)</li>
</ol>

<p><b><i>Heb jij berouw van jouw zonden en geloof jij het evangelie?</b></i></p>";"Maarten Bryunes";"With which other christians would you like to walk through all the commandments?";"God’s love is so real that He created you to prove it.";"Nick Vujicic"
1;"Mat 3:2";"positive";;"John the baptist";"duplicate";"Salvation Commands";;;;;;;;;;"Share your testimony!";;
1;"Rom 10:9";"positive";;"Paul";"direct";"Salvation Commands";;;;;;;;;;"Are you cold, lukewarm or hot? Do you have an earnestly desire to follow Jesus to glorify your Father in heaven with your whole life?";;
1;"Rom 6:23";"both";;"Paul";"indirect";"Salvation Commands";;;;;;;;;;;;
1;"Mat 7:21";"both";;"Jesus";"direct";"Salvation Commands";;;;;;;;;;;;
1;"Mar 1:15";"positive";;"Jesus";"duplicate";"Salvation Commands";;;;;;;;;;;;
1;"Mat 12:41";"positive";;"Jesus";"example";"Salvation Commands";;;;;;;;;;;;
1;"Luk 13:3";"negative";;"Jesus";"direct";"Salvation Commands";;;;;;;;;;;;
1;"Jes 55:7";"positive";;"Isaiah";"direct";"Salvation Commands";;;;;;;;;;;;
1;"Han 2:38";"positive";;"Peter";"direct";"Salvation Commands";;;;;;;;;;;;
